FOLDERRSN,PROPERTYID
12102998,5262416
12102998,5262467
12103132,5312706
12103132,5313118
12103220,5125349
12103220,5125524
12103236,5125349
12103236,5125527
12104069,2042730
12104069,3372573
12104074,290306
12104074,2019491
12104273,5312658
12104273,5313076
12104482,5312656
12104482,5313066
12104717,5470735
12104717,5470770
12104768,5312656
12104768,5313059
12104785,5312656
12104785,5313062
12105986,5312658
12105986,5313072
12106098,5312760
12106098,5313135
12106348,5312656
12106348,5313054
12106355,5312658
12106355,5313075
12107092,5340902
12107092,5340966
12107121,5340902
12107121,5340967
12107169,5340884
12107169,5341037
12107280,5363726
12107282,5363727
12107283,5363728
12107529,5097375
12107529,5243393
12107537,5097375
12107537,5243394
12107955,5312656
12107955,5313057
12108682,5097375
12108682,5243401
12108830,5363350
12108830,5363671
12108838,5363350
12108838,5363672
12108856,5363350
12108856,5363673
12109427,5363355
12109427,5363757
12109642,5313078
12110068,5312760
12110068,5313123
12110073,5312656
12110073,5313049
12110375,5363246
12110375,5363514
12110911,5413835
12110911,5413868
12111022,2026278
12111022,3192310
12111022,3306533
12114896,5312760
12114896,5313137
12115102,5312706
12115102,5313117
12115107,5312658
12115107,5313070
12115721,2017704
12115721,5468102
12115857,2017704
12115857,5468099
12116093,5413839
12116093,5413929
12116383,889370
12116383,2011382
12116417,5226424
12116417,5243391
12116957,2018363
12117689,5562888
12117689,5562902
12117782,5125349
12117782,5125530
12117840,5413841
12117840,5413921
12120020,5312760
12120020,5313133
12121565,5413841
12121565,5413919
12122776,722120
12122776,2017593
12124706,5312760
12124706,5313140
12125643,5312760
12125643,5313129
12127989,604940
12127989,2019090
12132252,2026293
12135008,2018557
12135008,3357871
12137152,5363350
12137152,5363732
12139893,5363350
12139893,5363733
12139907,5363350
12139907,5363734
12142150,5134150
12142150,5134156
12142156,5134150
12142156,5567859
10143696,2017196
10143696,2017199
10143698,2017040
10326552,2023466
10326552,2023472
10326552,2041972
10344764,2019151
10344764,2019159
10344764,3189837
10360213,2019205
10360213,2019219
10368372,2041353
10368372,2041362
10443583,2019580
10443730,2019508
10443730,2019554
10443730,2019595
10443730,2019650
10546693,2017086
10546693,2017116
10546693,2017159
10546693,2017211
10546693,3189275
10546693,3189276
10578574,2019194
10597959,2016530
10641838,625172
10641838,2018617
10646455,2019633
10646455,3504964
10811632,475052
11007829,2023896
11007829,2041445
11007829,2046522
11007829,2046523
11007829,3189482
11011531,139257
11011531,247155
11011531,755415
11011531,1036934
11011531,2007913
11011531,2030975
11011531,2039071
11023813,511148
11023813,2007052
11027902,966908
11027902,2039936
11084606,589454
11084606,2017357
11150803,2042768
11238434,208926
11238434,2021161
11250240,331502
11250240,2036098
11259005,247242
11259005,2018821
11260870,625400
11260870,2018966
11265460,408770
11265460,2040639
11266695,1121236
11266695,2019466
11272439,2019466
11272439,5070627
11274645,2024168
11275836,624260
11275836,2018866
11283609,165800
11283609,2019056
11317709,625418
11317709,2019056
11407565,2018901
11407565,2037906
11416611,2016088
11436677,401324
11436677,2018958
11452710,2018918
11452710,5058607
11471882,2019036
11471882,3555016
11475874,2015624
11476206,2015624
11476206,2015903
11476206,2019937
11476350,3272237
11476350,3272238
11476806,624416
11476806,2018623
11479315,2016362
11479315,3272238
11482054,3272237
11482195,2046539
11482195,3272237
11482372,2046539
11482686,1126909
11482686,3296886
11483274,2019036
11483274,3555016
11483297,2019036
11483297,3555016
11487228,574239
11487228,2018821
11487228,2018822
11494947,2018983
11494947,3365969
11497575,156963
11497575,2018517
11502018,523137
11508009,3307769
11508009,3307816
11508009,3307846
11508009,3307847
11508009,3307857
11508009,3307940
11508009,3307943
11508047,3307850
11508047,3307880
11508047,3308006
11508047,3308008
11508597,2022585
11508597,2045188
11523377,2020538
11523377,2020559
11523377,2020570
11523377,2021586
11523377,2047095
11575075,517436
11600816,409694
11600816,2022460
11638454,2018517
11643943,523137
11656464,267388
11656464,2018597
11656508,523137
11669485,2026540
11669485,2035571
11674139,165800
11674139,2019056
11678623,880130
11681098,2018946
11681098,3346192
11716795,3261092
11716795,5404707
11717661,2019150
11717661,2041238
11732279,624290
11732279,2018802
11750597,2018912
11750597,2018953
11750597,2018981
11750597,2018982
11755346,5062327
11755489,2018828
11756546,2020474
11757097,2018921
11760186,1114367
11760243,244199
11772040,625004
11773484,2018731
11773906,475400
11773906,2017546
11773906,2017548
11773906,2017549
11775210,2018901
11775210,5002534
11775227,2017624
11775227,2017625
11775532,753722
11775532,2042946
11775902,625004
11783758,2017710
11789066,2015365
11799206,3264436
11799234,3264436
11802331,2022460
11804418,2019126
11804418,2019137
11804418,2019138
11805992,2018901
11805992,5002534
11806377,624290
11806377,2018802
11806377,2018822
11807435,2017087
11807435,2017191
11807435,2017281
11807435,2017309
11807435,2017398
11807435,2040872
11807435,2046317
11807435,3321874
11831824,156779
11831824,2017754
11832979,2017548
11832979,2017555
11839270,2019178
11839270,2019212
11839270,2019228
11839270,2019229
11848470,2018635
11848470,2018680
11848470,2018710
11848470,2018711
11865740,2018800
11866861,2035560
11900149,992049
11900149,2017618
11900149,2017619
11900738,2019122
11900738,5315332
11903263,2041587
11903263,3041429
11903263,3261136
11903264,763192
11903264,2023060
11903264,3261092
11903264,3261093
11903264,3261097
11903264,3261098
11903264,3261113
11903264,3261115
11903264,3261116
11903264,3261121
11903265,180799
11903265,2023129
11903266,278710
11903266,2041697
11914491,128372
11914491,2018901
11916328,2017669
11918831,2017624
11919168,2018781
11919168,2018797
11919168,2018816
11919168,2018838
11919950,2019029
11924635,2021166
11924635,2021171
11924635,2021179
11924635,2021187
11930498,463844
11930498,2020474
11932094,2017874
11932094,2017891
11932094,2017893
11932094,2017917
11932094,2017918
11932094,2017944
11932094,2017945
11932094,2017965
11932094,2017984
11932094,2017985
11932094,2018014
11932094,2018015
11932094,2018035
11932094,2018047
11932094,2018048
11932094,2018125
11932094,2040991
11932094,2046238
11940439,2017558
11940439,2019907
11940778,219230
11940778,2023711
11940778,2033698
11951365,2015216
11951365,2015218
11951365,2015270
11951365,2015274
11951365,3257884
11951365,3257887
11951365,3257897
11951365,5323082
11951366,2015286
11951366,2015295
11951366,2015332
11951366,2015333
11951366,2037464
11951854,344337
11951854,2042946
11958617,445162
11958617,2019218
11963877,2018634
11963877,2018657
11968981,2017558
11976577,219230
11976577,2033698
11976826,2015604
11976826,2015652
11976826,2015699
11976826,2015732
11977455,2018762
11977455,2018828
11977455,2037906
11980130,2018990
11980130,2019030
11980130,2019051
11980130,2019052
11980673,2018990
11985024,614716
11985024,2018200
11985024,2018215
11985517,2018946
11985705,2018922
11987346,2036238
11987346,3374986
11987346,5087938
11987346,5470357
11992644,2016887
12000926,2018680
12005008,2011419
12005534,2015621
12005534,2015771
12005534,2015858
12005534,2015953
12005534,2016040
12005534,2016164
12005534,2016191
12005534,2016366
12005534,2016390
12005534,2016422
12005534,2016478
12005534,2016541
12005534,2016551
12005534,2016605
12005534,2016623
12005534,2016667
12005534,2016698
12005534,2016716
12005534,2016717
12005534,2016769
12005534,2016785
12005534,2016815
12005534,2016837
12005534,2016875
12005534,3321906
12018819,2019847
12021603,2017669
12021632,2041252
12022681,287631
12022681,2018921
12023238,753722
12023238,2042946
12023605,2017328
12023605,2017369
12025100,2018623
12025367,2012025
12025367,2012064
12025367,2012093
12025367,2040412
12025367,2040420
12026566,2016081
12026566,2016137
12027661,2017548
12027661,2017554
12028542,2017765
12028914,2036238
12028914,3374986
12028914,5087938
12028914,5470357
12034801,2018758
12034801,2018800
12036947,2041251
12036947,3076078
12038305,2017427
12038305,2017490
12040424,2017348
12040424,2017357
12040424,2017358
12045683,2024327
12048388,2018994
12048388,2019015
12048388,2019030
12048388,2019051
12048962,2015397
12048962,2015457
12048962,2015465
12048962,2015516
12048962,2015582
12048962,2015674
12048962,2015688
12048962,2015727
12048962,2015743
12048962,2015782
12048962,2015826
12048962,2015859
12048962,2015892
12048962,2015918
12048962,2015997
12048962,2016152
12050054,2017937
12050375,2018824
12050375,2018848
12050375,2018849
12050426,5369391
12059609,2047067
12059633,2047067
12061327,287631
12061327,2018920
12061327,2018921
12062144,623025
12062144,2023977
12062880,309782
12062880,2017618
12071437,2018200
12071968,2043756
12071969,2024376
12075999,2047107
12078429,362600
12078429,2019246
12081494,2024530
12082470,2017372
12082470,2017380
12082470,2017381
12082470,2017383
12082470,2017384
12082470,2017389
12082470,2036238
12082470,3374986
12082470,5087938
12082470,5470357
12084523,2017821
12084523,2017878
12084523,2017940
12084523,2018011
12084523,2018081
12084523,2018151
12084523,2018236
12084523,2018316
12084523,2018365
12084523,2018420
12084523,2018486
12086629,2018921
12087768,624794
12087768,2018825
12088637,2017369
12089895,959865
12089895,2011972
12089895,2011977
12089895,2011984
12089895,2012001
12089895,2012079
12089895,2012097
12089895,2012124
12090137,624368
12090137,2018681
12091159,2019624
12091159,2036094
12091159,2041275
12091159,2041307
12091592,2018983
12092939,2041099
12096822,2010958
12096822,2011034
12096822,2040007
12096822,3300718
12096822,3300729
12096822,3300734
12096822,3300736
12096839,3259980
12096839,3259985
12096839,3259995
12096839,3259996
12096839,3259998
12096839,3259999
12096839,3260017
12096839,3260018
12096839,3260021
12096888,2027828
12096888,3261678
12096888,3261682
12096888,3261694
12096888,3261697
12096888,3261700
12096888,3261703
12096888,3261713
12096888,3261772
12096888,3261775
12096888,3261781
12096888,3261784
12097399,2010274
12097399,2010753
12097399,2010843
12097399,2010844
12097399,2010857
12097399,2010876
12097399,2039936
12099119,2011415
12099119,2011419
12099119,3267712
12099119,3267715
12099119,3267717
12099119,3267718
12099119,3267720
12099119,3267721
12100082,2019138
12100082,3428136
12100373,2031870
12106384,2011433
12106411,2011420
12108499,2015365
12109597,2015365
12109984,2018680
12110351,2029996
12110979,2033096
12115202,2018849
12115859,156779
12115859,2017754
12116433,2021243
12116433,2021271
12116433,2021282
12116433,2041258
12117082,211159
12117082,2018377
12117213,178047
12117213,2041039
12117378,624872
12117378,2018757
12117557,2010207
12117557,2010282
12117557,2012318
12117557,2012319
12117557,2012321
12117557,2039642
12117557,5096311
12117557,5096313
12118616,128264
12118616,5002526
12118616,5002534
12120093,3426115
12120559,2012280
12120559,2012299
12120559,2015239
12120559,2015283
12120559,2015323
12120559,2015373
12120559,2015426
12120559,2015882
12120559,2015976
12120559,2016061
12120559,2016149
12120559,2016232
12120559,2016294
12120559,2016369
12120559,2016408
12120559,2016461
12120559,2016512
12120559,2016547
12120559,2016573
12120559,2016631
12120559,2016661
12120559,2016671
12120559,2016701
12120559,2019720
12120559,2040447
12120559,2040566
12120559,2047011
12120569,2011600
12120569,2011669
12120569,2011748
12120569,2011840
12120569,2011841
12120569,2011953
12120569,2012002
12120569,2012011
12120569,2012106
12120569,2012199
12120569,2012269
12120569,2012281
12120569,2012549
12120569,2019846
12120569,2019847
12120569,2019849
12120569,2040131
12120569,2040285
12120569,2047008
12120569,3189325
12120569,3189326
12120569,3189327
12120569,3189328
12120569,3257640
12120569,3257642
12120569,3257643
12120569,3304220
12120569,3304221
12120569,5629591
12120609,2016153
12120609,2016185
12120609,2016191
12120609,2016237
12120609,2016265
12120609,2016297
12120609,2016323
12120609,2016351
12120609,2016377
12120609,2040715
12120960,879254
12120960,2018505
12120960,2018525
12121242,362096
12121242,2019301
12122191,2041306
12122591,2035570
12122612,2021147
12122612,2021156
12122614,659253
12122614,2009970
12123026,2026542
12123026,2041373
12123102,3035321
12123102,3372573
12123315,2021155
12124071,2028255
12124476,2018399
12125028,2022581
12125028,2022583
12125599,90026
12125599,2019569
12126014,2006488
12126322,2018274
12126322,2019764
12126322,2019766
12126322,2019770
12126322,2020849
12126322,2020874
12126322,2020882
12126322,2020891
12126322,2020905
12126322,2020910
12126322,2020918
12126322,2020929
12126322,2020936
12126322,2047059
12126322,2048108
12126573,2018255
12126593,2019138
12126758,2027796
12126759,2027742
12126759,2027791
12126759,2027806
12126759,2027818
12126762,2042145
12126763,2042120
12126764,2027853
12126764,2028524
12126765,2035207
12126766,2027850
12126766,2028527
12126766,3389289
12126770,2027821
12126770,2027829
12126771,2027803
12126771,2027804
12126771,2043073
12126772,3426058
12127984,2018505
12128959,2015480
12128959,2015503
12128959,2015527
12128959,2015573
12128959,2015655
12128959,2015688
12128959,2015727
12128959,2015782
12128959,2015859
12128959,2015892
12128959,2015919
12128959,2015992
12128959,2016076
12128959,2016122
12128959,2016385
12128959,2033089
12129020,2015526
12129020,2015581
12129020,2015605
12129020,2015687
12129020,2015917
12129020,2016524
12129020,2016538
12129020,2016581
12129020,2016645
12129020,2016697
12129020,2016747
12129020,2016804
12129020,2016869
12129020,2040727
12129020,2040769
12129064,2029996
12129145,2041449
12129877,2006882
12129877,2006928
12129877,2006945
12129877,2006951
12129877,2006955
12129877,2006959
12129877,2006964
12129877,2006967
12129877,2006968
12129877,2006973
12129877,2006978
12129877,2006988
12129877,2007005
12129877,2007026
12129877,2007042
12129877,2007066
12129877,2007078
12129877,2007081
12129877,2007101
12129877,2007102
12129877,2007112
12129877,2007113
12129877,2007120
12129877,2007125
12129877,2007129
12129877,2007130
12129877,2007132
12129877,2007175
12129877,2007190
12129877,2007215
12129877,2007225
12129877,2007244
12129877,2007260
12129877,2030739
12129877,2030749
12129877,2030752
12129877,2030775
12129877,2038645
12129877,2038647
12129877,2038654
12129877,2038676
12129877,2038688
12129877,2038691
12129877,2038700
12129877,2038713
12129877,2038746
12129877,2042561
12129877,2043882
12129877,3193166
12129877,3193167
12129877,3193168
12129877,3193169
12129877,3193175
12129877,3193176
12129877,3193177
12129877,3193178
12129877,3193179
12129877,3193180
12129877,3193181
12129877,3193182
12129877,3193183
12129877,3193184
12131351,2017668
12131351,2017669
12131806,3210056
12132203,2023196
12132288,2041808
12132399,143568
12132399,2019150
12132405,2033270
12132733,2038030
12132733,3084146
12133980,91172
12133980,2041225
12134000,5002526
12134000,5002534
12134394,3379512
12134827,2018849
12134863,2024839
12134863,2024869
12134863,2024870
12135140,1160344
12135140,2035659
12135255,2007683
12135258,2012375
12135831,2010533
12136276,2037292
12136276,2037303
12136276,2037308
12136276,3287314
12136276,5122511
12136276,5124100
12137052,2017892
12137052,2017956
12137052,2018024
12137244,2017540
12138163,589940
12138163,2017041
12138555,2018099
12139115,2018230
12139115,2037561
12139170,141345
12139170,2042141
12139205,2018687
12140155,3329625
12140155,3337380
12140282,237172
12140282,2013739
12140541,2041165
12140589,2030726
12140728,248461
12140728,2018901
12140728,2018922
12140728,3264436
12140961,2017184
12140997,2017241
12141029,2038063
12141029,3084637
12141051,633963
12141051,3213029
